Year,Year Code,Births
2007,2007,140566
2008,2008,135664
2009,2009,124247
2010,2010,109173
2011,2011,95538
2012,2012,86423
2013,2013,74820
2014,2014,66791
2015,2015,61184
2016,2016,54741
2017,2017,48547
2018,2018,44291
2019,2019,41081
2020,2020,38587
2021,2021,35542
2022,2022,35422
2023,2023,35714
