Year,Year Code,Births
2007,2007,304333
2008,2008,299094
2009,2009,285555
2010,2010,258505
2011,2011,234234
2012,2012,218965
2013,2013,198285
2014,2014,182287
2015,2015,168531
2016,2016,155068
2017,2017,145830
2018,2018,135580
2019,2019,130593
2020,2020,119456
2021,2021,111431
2022,2022,108367
2023,2023,105263
